point,X,Y
217,2685870.742,1601189.742
218,2657513.166,1505923.439
219,2583372.62,1476506.847
220,2804793.588,1723942.942
221,2682869.667,1721654.776
222,2566884.283,1675848.331
223,2615018.69,1831632.204
224,2541858.711,1930730.988
225,2551054.544,1774821.846
226,2618853.082,1898441.135
227,2535958.405,1899823.255
228,2509390.509,2020755.327
229,3012905.71,1618559.921
230,2408509.136,2008687.036
231,2374568.688,1944288.061
232,2233405.413,1951550.457
233,2237003.141,1953541.779
234,1939814.154,1843669.103
235,2008589.686,1884080.065
236,2953932.743,1602735.573
237,1963580.061,1859561.724
238,1870864.364,1771790.769
239,2145320.21,1890039.981
240,2335902.551,1906815.408
241,2077658.849,1886406.696
242,1930992.246,1838386.574
243,2011424.311,1886585.825
244,1871193.28,699949.684
245,1849929.285,765970.3866
246,1833482.635,806869.4846
247,1609619.711,600521.5371
248,2353040.243,947255.0676
249,2492222.353,1067453.554
250,2377427.964,1076356.566
251,2530050.058,1300563.605
252,2355145.382,1059516.747
253,2433426.023,1002452.566
254,2480468.413,1021952.645
255,2342442.373,942708.7296
256,2516297.611,1257268.965
257,2361226.375,924904.0844
258,2250546.111,831523.847
259,2270332.988,842487.2892
260,2309199.866,883872.0006
261,2467165.958,1025169.66
262,2579452.693,1170212.161
263,2583061.36,1216159.252
264,915469.0723,1111406.824
265,974685.0793,1054841.968
266,623285.7747,1003647.462
267,1053635.494,1140943.475
268,883431.3208,978610.5961
269,303816.7632,1373350.499
270,1367817.173,679852.3271
271,1351392.285,803664.331
272,1208051.657,742147.3494
273,1117826.88,842912.8654
274,1131477.432,987669.253
275,1064454.473,972740.3352
276,244781.6717,1109384.23
277,1337962.904,744671.5425
278,656251.0078,1115586.392
279,778944.6823,1154877.419
280,412773.3725,1030891.964
281,974308.7854,989551.5387
282,641102.9392,1080031.623
283,1034563.434,931053.6136
284,419539.1487,1131819.195
285,456632.4264,1181974.191
286,337565.0093,1283196.513
287,355243.8617,1303029.66
288,377242.6722,965665.4703
289,1181065.515,772865.3446
290,1038961.916,660261.1582
291,578818.7992,1022854.732
292,460100.1281,942244.1849
293,785185.169,929607.4542
294,850240.7923,890757.3758
295,457577.093,1178825.858
296,806674.1025,1102852.813
297,1117769.163,1018531.687
298,1238418.791,792120.1017
299,1204198.795,744545.5085
300,487017.7071,1052312.814
301,1076558.494,926320.6217
302,54397.25663,1079606.478
303,46385.7423,1194091.114
304,672206.3475,1051941.579
305,777364.8161,945091.1383
306,976369.69,1130776.505
307,61816.82813,963716.2613
308,905688.6218,1113242.997
309,623285.8438,1003647.235
310,168392.0532,1116220.534
311,1103042.562,1098871.011
312,341645.2297,1348110.061
313,87971.68854,1295617.875
314,2435162.333,1173314.34
315,2358265.337,1130204.784
316,2282901.751,1590555.483
317,1828293.621,1725900.646
318,1602750.615,836638.2596
319,1827612.459,866522.7212
320,1665162.68,914160.8433
321,1178063.189,906880.2924
322,1365245.481,978388.3537
323,1650418.267,1042306.948
324,1488892.41,838034.8429
325,1808709.581,1054240.939
326,1474770.375,1103045.352
327,1558690.818,1168294.779
328,1704518.607,1132517.05
329,1931016.186,1257431.132
